tweet,tokens,label
woman shouldnt complain cleaning house man always take trash,"['woman', 'shouldnt', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']",0
boy dat coldtyga dwn bad cuffin dat hoe st place,"['boy', 'dat', 'coldtyga', 'dwn', 'bad', 'cuffin', 'dat', 'hoe', 'st', 'place']",0
dawg ever fuck bitch start cry confused shit,"['dawg', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']",0
look like tranny,"['look', 'like', 'tranny']",0
shit hear might true might faker bitch told ya,"['shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya']",0
shit blow meclaim faithful somebody still fucking hoe,"['shit', 'blow', 'meclaim', 'faithful', 'somebody', 'still', 'fucking', 'hoe']",0
sit hate another bitch got much shit going,"['sit', 'hate', 'another', 'bitch', 'got', 'much', 'shit', 'going']",0
cause im tired big bitch coming u skinny girl,"['cause', 'im', 'tired', 'big', 'bitch', 'coming', 'u', 'skinny', 'girl']",0
might get ya bitch back thats,"['might', 'get', 'ya', 'bitch', 'back', 'thats']",0
hobby include fighting mariam bitch,"['hobby', 'include', 'fighting', 'mariam', 'bitch']",0
keeks bitch curve everyone lol walked conversation like smh,"['keeks', 'bitch', 'curve', 'everyone', 'lol', 'walked', 'conversation', 'like', 'smh']",0
murda gang bitch gang land,"['murda', 'gang', 'bitch', 'gang', 'land']",0
hoe smoke loser yea go ig,"['hoe', 'smoke', 'loser', 'yea', 'go', 'ig']",0
bad bitch thing like,"['bad', 'bitch', 'thing', 'like']",0
bitch get,"['bitch', 'get']",0
bitch nigga miss,"['bitch', 'nigga', 'miss']",0
bitch plz whatever,"['bitch', 'plz', 'whatever']",0
bitch love,"['bitch', 'love']",0
bitch get cut everyday b,"['bitch', 'get', 'cut', 'everyday', 'b']",0
black bottle bad bitch,"['black', 'bottle', 'bad', 'bitch']",0
broke bitch cant tell nothing,"['broke', 'bitch', 'cant', 'tell', 'nothing']",0
cancel bitch like nino,"['cancel', 'bitch', 'like', 'nino']",0
cant see hoe wont change,"['cant', 'see', 'hoe', 'wont', 'change']",0
fuck bitch dont even suck dick kermit video bout fuck ig,"['fuck', 'bitch', 'dont', 'even', 'suck', 'dick', 'kermit', 'video', 'bout', 'fuck', 'ig']",0
got ya bitch tip toeing hardwood floor,"['got', 'ya', 'bitch', 'tip', 'toeing', 'hardwood', 'floor']",0
pussy lip like heaven door,"['pussy', 'lip', 'like', 'heaven', 'door']",0
hoe hitting,"['hoe', 'hitting']",0
met pussy ocean dr gave pussy pill,"['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill']",0
need trippy bitch fuck hennessy,"['need', 'trippy', 'bitch', 'fuck', 'hennessy']",0
spend money want bitch business,"['spend', 'money', 'want', 'bitch', 'business']",0
txt old bitch new bitch pussy wetter,"['txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'wetter']",0
id say im back old old bitch would get excited,"['id', 'say', 'im', 'back', 'old', 'old', 'bitch', 'would', 'get', 'excited']",0
aint bout murder game pussy nigga shut,"['aint', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut']",0
youre toe aint done pussy stink,"['youre', 'toe', 'aint', 'done', 'pussy', 'stink']",0
im done bitter bitch wrap angry bird there app,"['im', 'done', 'bitter', 'bitch', 'wrap', 'angry', 'bird', 'there', 'app']",0
ya bitch,"['ya', 'bitch']",0
aint nothing cut bitch,"['aint', 'nothing', 'cut', 'bitch']",0
jus meet son ya mane as bitch shot,"['jus', 'meet', 'son', 'ya', 'mane', 'as', 'bitch', 'shot']",0
lame cry hoe thats tear clown,"['lame', 'cry', 'hoe', 'thats', 'tear', 'clown']",0
